               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090561,            0.032337,            0.031968,           0.0038703,                   1,            0.089469,            0.023775,            0.075364,            0.026408,             0.02738,              0.0946,              0.0006,              0.0006
                   1,            0.079404,            0.030035,            0.028995,            0.003858,                   1,            0.040618,           0.0098881,            0.071767,            0.026235,            0.026959,            0.088287,           0.0012871,           0.0012871
                   2,            0.080376,            0.031571,             0.02978,           0.0039303,                   1,            0.046862,            0.012112,            0.066068,            0.026355,            0.026612,             0.08196,           0.0019604,           0.0019604
                   3,             0.07997,            0.031395,            0.029525,           0.0041044,                   1,            0.053457,            0.010742,            0.062924,             0.02643,            0.026426,             0.07562,           0.0026198,           0.0026198
                   4,            0.078241,            0.031344,            0.029797,           0.0041752,                   1,             0.39211,             0.15329,             0.05668,            0.026181,            0.026957,            0.069265,           0.0032654,           0.0032654
                   5,            0.060308,            0.028459,            0.026129,           0.0041011,                   1,             0.39734,             0.13819,            0.053023,            0.025849,            0.028027,            0.062897,            0.003897,            0.003897
                   6,            0.082196,            0.031855,            0.029951,           0.0041011,                   1,             0.39734,             0.13819,            0.053023,            0.025849,            0.028027,            0.056515,           0.0045149,           0.0045149
                   7,            0.076588,            0.026743,            0.029527,           0.0041838,                   1,             0.37161,             0.17549,            0.051904,            0.025176,            0.028757,            0.050119,           0.0051188,           0.0051188
                   8,            0.078017,            0.029817,            0.028974,           0.0043144,                   1,             0.47324,             0.22427,            0.048461,            0.024559,            0.028464,            0.043709,            0.005709,            0.005709
                   9,            0.082641,            0.031888,             0.03116,           0.0043144,                   1,             0.47324,             0.22427,            0.048461,            0.024559,            0.028464,            0.037285,           0.0062852,           0.0062852
                  10,            0.061635,            0.026619,            0.026508,           0.0042857,                   1,             0.19318,            0.073891,            0.046231,            0.023855,            0.027189,            0.030848,           0.0068476,           0.0068476
                  11,            0.075842,            0.026931,             0.02979,           0.0042857,                   1,             0.19318,            0.073891,            0.046231,            0.023855,            0.027189,            0.024396,           0.0073961,           0.0073961
                  12,            0.060192,            0.026769,            0.026405,           0.0043364,                   1,             0.20006,             0.08018,            0.042257,            0.023711,            0.027313,            0.017931,           0.0079308,           0.0079308
                  13,            0.076222,             0.03163,            0.031754,           0.0043364,                   1,             0.20006,             0.08018,            0.042257,            0.023711,            0.027313,            0.011452,           0.0084516,           0.0084516
                  14,            0.065114,            0.030158,            0.029083,           0.0042375,                   1,             0.27236,            0.092961,            0.040374,            0.022849,             0.02421,            0.008614,            0.008614,            0.008614
                  15,            0.054515,            0.025345,            0.025826,           0.0042375,                   1,             0.27236,            0.092961,            0.040374,            0.022849,             0.02421,            0.008614,            0.008614,            0.008614
                  16,            0.059779,            0.026835,             0.02653,           0.0040761,                   1,             0.26956,            0.080417,            0.039141,            0.022298,             0.02446,            0.008515,            0.008515,            0.008515
                  17,            0.038878,            0.020337,            0.019827,           0.0040761,                   1,             0.26956,            0.080417,            0.039141,            0.022298,             0.02446,            0.008416,            0.008416,            0.008416
                  18,            0.072022,            0.029831,            0.027202,           0.0040761,                   1,             0.26956,            0.080417,            0.039141,            0.022298,             0.02446,            0.008317,            0.008317,            0.008317
                  19,            0.063604,            0.031085,            0.025471,            0.004032,                   1,             0.25188,            0.071995,            0.038029,            0.021612,            0.024971,            0.008218,            0.008218,            0.008218
                  20,            0.060114,            0.028037,            0.029671,            0.004032,                   1,             0.25188,            0.071995,            0.038029,            0.021612,            0.024971,            0.008119,            0.008119,            0.008119
                  21,            0.056735,            0.025069,            0.022551,           0.0041852,                   1,             0.31629,            0.096743,            0.036696,            0.020719,            0.026462,             0.00802,             0.00802,             0.00802
                  22,            0.062851,            0.027027,            0.027253,           0.0041852,                   1,             0.31629,            0.096743,            0.036696,            0.020719,            0.026462,            0.007921,            0.007921,            0.007921
                  23,             0.04739,            0.028288,            0.021933,            0.006418,                   1,             0.48273,             0.27336,            0.037257,            0.019224,            0.025562,            0.007822,            0.007822,            0.007822
                  24,             0.05838,            0.026709,            0.024004,            0.006418,                   1,             0.48273,             0.27336,            0.037257,            0.019224,            0.025562,            0.007723,            0.007723,            0.007723
                  25,            0.053722,            0.027974,            0.024705,            0.080059,             0.58333,             0.36244,              0.1374,             0.04053,            0.018074,            0.023354,            0.007624,            0.007624,            0.007624
                  26,            0.056834,            0.025604,            0.024965,            0.080059,             0.58333,             0.36244,              0.1374,             0.04053,            0.018074,            0.023354,            0.007525,            0.007525,            0.007525
                  27,            0.055708,            0.026458,            0.022537,            0.080059,             0.58333,             0.36244,              0.1374,             0.04053,            0.018074,            0.023354,            0.007426,            0.007426,            0.007426
                  28,            0.062995,            0.027482,            0.022774,             0.18551,             0.58333,             0.38868,             0.10219,            0.039817,            0.017872,            0.022879,            0.007327,            0.007327,            0.007327
                  29,            0.052914,            0.029447,             0.02138,             0.18551,             0.58333,             0.38868,             0.10219,            0.039817,            0.017872,            0.022879,            0.007228,            0.007228,            0.007228
                  30,            0.049901,            0.023947,             0.02168,            0.026619,             0.58333,             0.53077,             0.16516,            0.039196,            0.018248,             0.02255,            0.007129,            0.007129,            0.007129
                  31,            0.060308,            0.025577,            0.025826,            0.026619,             0.58333,             0.53077,             0.16516,            0.039196,            0.018248,             0.02255,             0.00703,             0.00703,             0.00703
                  32,             0.05135,            0.021492,            0.019436,             0.85701,                0.25,              0.3045,             0.15879,            0.040277,            0.018178,            0.021053,            0.006931,            0.006931,            0.006931
                  33,            0.057162,            0.026046,            0.021278,             0.85701,                0.25,              0.3045,             0.15879,            0.040277,            0.018178,            0.021053,            0.006832,            0.006832,            0.006832
                  34,            0.059787,            0.025941,             0.01815,             0.85701,                0.25,              0.3045,             0.15879,            0.040277,            0.018178,            0.021053,            0.006733,            0.006733,            0.006733
                  35,            0.052375,            0.027456,            0.018383,             0.84346,             0.19198,             0.28173,             0.13161,             0.04172,            0.017289,            0.020123,            0.006634,            0.006634,            0.006634
                  36,            0.051286,            0.025385,            0.022495,             0.84346,             0.19198,             0.28173,             0.13161,             0.04172,            0.017289,            0.020123,            0.006535,            0.006535,            0.006535
                  37,            0.060112,            0.026135,            0.026429,                   1,             0.16313,             0.32942,             0.16818,            0.038733,            0.017395,            0.020008,            0.006436,            0.006436,            0.006436
                  38,            0.057361,            0.024661,            0.022959,                   1,             0.16313,             0.32942,             0.16818,            0.038733,            0.017395,            0.020008,            0.006337,            0.006337,            0.006337
                  39,            0.067452,            0.024747,            0.026648,             0.93503,             0.16667,             0.55747,             0.16275,            0.038218,            0.016967,            0.020687,            0.006238,            0.006238,            0.006238
                  40,            0.052029,            0.023523,            0.022264,             0.93503,             0.16667,             0.55747,             0.16275,            0.038218,            0.016967,            0.020687,            0.006139,            0.006139,            0.006139
                  41,            0.050989,               0.022,             0.02139,             0.73567,             0.29697,             0.43076,             0.21694,            0.034712,            0.017186,             0.02207,             0.00604,             0.00604,             0.00604
                  42,            0.048869,            0.021412,            0.019141,             0.73567,             0.29697,             0.43076,             0.21694,            0.034712,            0.017186,             0.02207,            0.005941,            0.005941,            0.005941
                  43,            0.065448,            0.026082,            0.021919,             0.73567,             0.29697,             0.43076,             0.21694,            0.034712,            0.017186,             0.02207,            0.005842,            0.005842,            0.005842
                  44,             0.04231,            0.023615,            0.019086,             0.66667,             0.16232,             0.35445,             0.16969,            0.033315,            0.017151,            0.021432,            0.005743,            0.005743,            0.005743
                  45,            0.050044,            0.023424,            0.025162,             0.66667,             0.16232,             0.35445,             0.16969,            0.033315,            0.017151,            0.021432,            0.005644,            0.005644,            0.005644
                  46,            0.060147,            0.028992,            0.018259,             0.53647,             0.19872,             0.27748,             0.13093,            0.032274,            0.016748,            0.022007,            0.005545,            0.005545,            0.005545
                  47,            0.060104,             0.02675,            0.022119,             0.53647,             0.19872,             0.27748,             0.13093,            0.032274,            0.016748,            0.022007,            0.005446,            0.005446,            0.005446
                  48,            0.038605,            0.018817,            0.019605,              0.5365,             0.58333,             0.27655,             0.13602,            0.033354,            0.016473,            0.021557,            0.005347,            0.005347,            0.005347
                  49,            0.058644,            0.025356,            0.016764,              0.5365,             0.58333,             0.27655,             0.13602,            0.033354,            0.016473,            0.021557,            0.005248,            0.005248,            0.005248
                  50,            0.055498,            0.020843,            0.020179,              0.5365,             0.58333,             0.27655,             0.13602,            0.033354,            0.016473,            0.021557,            0.005149,            0.005149,            0.005149
                  51,            0.052549,            0.021912,            0.017504,             0.58898,             0.58226,              0.3004,             0.15255,            0.036758,            0.015738,            0.020519,             0.00505,             0.00505,             0.00505
                  52,            0.047875,            0.021552,             0.01647,             0.58898,             0.58226,              0.3004,             0.15255,            0.036758,            0.015738,            0.020519,            0.004951,            0.004951,            0.004951
                  53,            0.059171,            0.024677,              0.0196,             0.54584,             0.58333,              0.2792,             0.15124,            0.033184,            0.016149,            0.020197,            0.004852,            0.004852,            0.004852
                  54,            0.047982,            0.021477,            0.023345,             0.54584,             0.58333,              0.2792,             0.15124,            0.033184,            0.016149,            0.020197,            0.004753,            0.004753,            0.004753
                  55,            0.050278,            0.022213,            0.016994,             0.66667,             0.16149,             0.32578,             0.16941,            0.030762,            0.016363,            0.021092,            0.004654,            0.004654,            0.004654
                  56,            0.049084,            0.024161,            0.017805,             0.66667,             0.16149,             0.32578,             0.16941,            0.030762,            0.016363,            0.021092,            0.004555,            0.004555,            0.004555
                  57,            0.055386,            0.023263,            0.018184,             0.66667,             0.16061,             0.32224,             0.13126,            0.029983,            0.016436,            0.020162,            0.004456,            0.004456,            0.004456
                  58,            0.052459,            0.023457,            0.017775,             0.66667,             0.16061,             0.32224,             0.13126,            0.029983,            0.016436,            0.020162,            0.004357,            0.004357,            0.004357
                  59,            0.043421,             0.01742,            0.019258,             0.66667,             0.16061,             0.32224,             0.13126,            0.029983,            0.016436,            0.020162,            0.004258,            0.004258,            0.004258
                  60,            0.052419,             0.02584,            0.015222,             0.66667,             0.16214,             0.31497,             0.13753,            0.029703,            0.016124,            0.020778,            0.004159,            0.004159,            0.004159
                  61,            0.058149,            0.020434,             0.01821,             0.66667,             0.16214,             0.31497,             0.13753,            0.029703,            0.016124,            0.020778,             0.00406,             0.00406,             0.00406
                  62,             0.05101,            0.025447,            0.016699,             0.15902,             0.43857,             0.25517,             0.13816,            0.029833,            0.015917,            0.020944,            0.003961,            0.003961,            0.003961
                  63,            0.039328,            0.020308,            0.018175,             0.15902,             0.43857,             0.25517,             0.13816,            0.029833,            0.015917,            0.020944,            0.003862,            0.003862,            0.003862
                  64,            0.041504,            0.022538,            0.014214,              0.5248,                0.25,             0.26396,             0.12194,            0.031842,            0.015824,            0.020148,            0.003763,            0.003763,            0.003763
                  65,            0.048501,            0.025472,            0.014898,              0.5248,                0.25,             0.26396,             0.12194,            0.031842,            0.015824,            0.020148,            0.003664,            0.003664,            0.003664
                  66,            0.042177,            0.024867,            0.026205,              0.5248,                0.25,             0.26396,             0.12194,            0.031842,            0.015824,            0.020148,            0.003565,            0.003565,            0.003565
                  67,             0.05108,            0.027672,            0.015135,                   1,             0.15756,              0.2884,             0.12967,            0.032583,            0.015525,            0.019543,            0.003466,            0.003466,            0.003466
                  68,            0.033529,            0.021622,            0.015025,                   1,             0.15756,              0.2884,             0.12967,            0.032583,            0.015525,            0.019543,            0.003367,            0.003367,            0.003367
                  69,            0.054769,            0.023321,            0.017279,             0.50375,                0.25,             0.23649,             0.11662,            0.032883,            0.015395,            0.019973,            0.003268,            0.003268,            0.003268
                  70,            0.041619,            0.024827,             0.01402,             0.50375,                0.25,             0.23649,             0.11662,            0.032883,            0.015395,            0.019973,            0.003169,            0.003169,            0.003169
                  71,            0.064255,            0.028715,            0.018582,             0.54413,             0.16667,             0.20706,            0.095926,            0.035195,            0.016141,            0.021663,             0.00307,             0.00307,             0.00307
                  72,            0.043589,            0.023391,            0.019522,             0.54413,             0.16667,             0.20706,            0.095926,            0.035195,            0.016141,            0.021663,            0.002971,            0.002971,            0.002971
                  73,            0.044763,            0.021709,            0.016468,                   1,             0.16006,             0.25251,             0.13167,            0.032752,            0.016341,            0.021249,            0.002872,            0.002872,            0.002872
                  74,            0.043077,             0.02427,             0.01943,                   1,             0.16006,             0.25251,             0.13167,            0.032752,            0.016341,            0.021249,            0.002773,            0.002773,            0.002773
                  75,            0.046716,            0.024692,            0.014189,                   1,             0.16006,             0.25251,             0.13167,            0.032752,            0.016341,            0.021249,            0.002674,            0.002674,            0.002674
                  76,            0.045298,            0.025023,            0.015513,             0.66667,             0.16204,             0.24056,             0.13682,            0.031707,            0.016689,            0.022326,            0.002575,            0.002575,            0.002575
                  77,            0.049488,            0.020595,            0.013987,             0.66667,             0.16204,             0.24056,             0.13682,            0.031707,            0.016689,            0.022326,            0.002476,            0.002476,            0.002476
                  78,            0.044195,            0.024446,            0.011685,             0.66667,             0.16291,             0.22009,             0.13202,            0.032012,            0.016628,            0.021216,            0.002377,            0.002377,            0.002377
                  79,            0.046485,             0.02424,             0.01888,             0.66667,             0.16291,             0.22009,             0.13202,            0.032012,            0.016628,            0.021216,            0.002278,            0.002278,            0.002278
                  80,            0.043257,            0.024434,            0.012014,             0.66667,             0.16137,             0.22758,             0.12607,            0.031571,             0.01639,            0.021836,            0.002179,            0.002179,            0.002179
                  81,            0.041028,            0.024382,            0.013817,             0.66667,             0.16137,             0.22758,             0.12607,            0.031571,             0.01639,            0.021836,             0.00208,             0.00208,             0.00208
                  82,            0.047265,            0.021899,             0.01265,             0.66667,             0.16137,             0.22758,             0.12607,            0.031571,             0.01639,            0.021836,            0.001981,            0.001981,            0.001981
                  83,            0.033872,             0.01919,            0.010415,             0.66667,             0.16166,              0.2438,             0.12808,            0.031668,            0.016403,            0.021626,            0.001882,            0.001882,            0.001882
                  84,            0.044017,            0.023523,            0.014554,             0.66667,             0.16166,              0.2438,             0.12808,            0.031668,            0.016403,            0.021626,            0.001783,            0.001783,            0.001783
                  85,            0.048286,            0.024308,             0.01391,             0.66667,             0.16156,              0.2419,             0.11524,            0.031945,            0.016372,             0.02204,            0.001684,            0.001684,            0.001684
                  86,            0.044726,            0.021835,            0.015656,             0.66667,             0.16156,              0.2419,             0.11524,            0.031945,            0.016372,             0.02204,            0.001585,            0.001585,            0.001585
                  87,            0.049095,            0.020988,            0.013107,             0.66667,             0.16121,               0.232,             0.11157,            0.032198,            0.016009,             0.02209,            0.001486,            0.001486,            0.001486
                  88,            0.046494,            0.022638,            0.014057,             0.66667,             0.16121,               0.232,             0.11157,            0.032198,            0.016009,             0.02209,            0.001387,            0.001387,            0.001387
                  89,            0.041828,            0.022689,            0.013853,             0.24736,             0.24207,             0.26817,             0.11729,            0.031347,            0.016048,            0.021353,            0.001288,            0.001288,            0.001288
                  90,            0.040976,            0.022202,            0.013751,             0.24736,             0.24207,             0.26817,             0.11729,            0.031347,            0.016048,            0.021353,            0.001189,            0.001189,            0.001189
                  91,             0.04428,            0.021226,            0.021452,             0.24736,             0.24207,             0.26817,             0.11729,            0.031347,            0.016048,            0.021353,             0.00109,             0.00109,             0.00109
                  92,            0.045239,            0.024829,            0.013022,             0.33333,             0.15769,             0.25559,             0.10896,            0.031544,            0.016033,            0.023369,            0.000991,            0.000991,            0.000991
                  93,             0.04103,            0.023694,            0.012141,             0.33333,             0.15769,             0.25559,             0.10896,            0.031544,            0.016033,            0.023369,            0.000892,            0.000892,            0.000892
                  94,            0.039656,            0.019047,             0.01378,             0.15423,                0.25,             0.22793,            0.096221,            0.031117,            0.016189,            0.023136,            0.000793,            0.000793,            0.000793
                  95,            0.044968,            0.022668,            0.014215,             0.15423,                0.25,             0.22793,            0.096221,            0.031117,            0.016189,            0.023136,            0.000694,            0.000694,            0.000694
                  96,            0.034069,               0.018,            0.011739,             0.15493,             0.26432,             0.22786,            0.094915,            0.030482,            0.016288,            0.023634,            0.000595,            0.000595,            0.000595
                  97,            0.053518,            0.023036,            0.018496,             0.15493,             0.26432,             0.22786,            0.094915,            0.030482,            0.016288,            0.023634,            0.000496,            0.000496,            0.000496
                  98,            0.046471,            0.024748,            0.017757,             0.15493,             0.26432,             0.22786,            0.094915,            0.030482,            0.016288,            0.023634,            0.000397,            0.000397,            0.000397
                  99,            0.043367,            0.022676,            0.011333,             0.19174,                0.25,             0.24339,              0.1008,            0.029905,            0.016535,            0.022297,            0.000298,            0.000298,            0.000298
